Descricao;Valor
Computador Gamer Skul 3000 i3-9100F, 8GB, SSD 240GB, Linux - 35072 + Placa de Vi­deo ASRock AMD RX 550 Phantom Gaming 2G - 90-GA0500-00UANF;['---']
Computador Gamer Skul 3000 Intel Core i3-9100F, 8GB, SSD 240GB, Linux - 35072 + Placa de Video Asus NVIDIA GeForce GTX 1050 Ti 4GB CERBERUS;['---']
Placa de Vídeo ZOTAC GAMING GeForce RTX 3090 Trinity OC, 19.5 Gbps, 24GB, GDDR6X, Ray Tracing, RGB - ZT-A30900J-10P;['---']
Placa de Vídeo Gigabyte GeForce RTX 3060 EAGLE 12G, 12GB GDDR6, RGB Fusion, Ray Tracing - GV-N3060EAGLE-12GD;['---']
Placa de Vídeo Aorus Geforce RTX 3080 GAMING BOX 10G, GDDR6X, RGB Fusion 2.0 - GV-N3080IXEB-10GD;['---']
Placa de Vídeo Gigabyte GeForce RTX 3060 Gaming OC 12G, 12 GB GDDR6, Ray Tracing, REV 1.0 - GV-N3060GAMINGOC-12GD;['---']
Placa de Vídeo MSI GeForce RTX 3060 VENTUS 2X 12G OC, 15 Gbps, 12GB GDDR6, Ray Tracing;['---']
Placa de Vídeo ASUS GeForce RTX 3060, 15 Gbps, 12GB GDDR6, Ray Tracing, DLSS - KO-RTX3060-O12G-GAMING;['---']
Placa de Vídeo Gigabyte AORUS RTX 3090 GAMING BOX, 24GB GDDR6X, RGB Fusion e WaterForce - GV-N3090IXEB-24GD;['---']
Placa de Vídeo MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO, 19 Gbps, 10GB, GDDR6X, DLSS, Ray Tracing, RGB - RTX 3080 GAMING Z TRIO 10G;['---']
Placa de Vídeo Galax Geforce RTX 3070 Ti SG LHR , 19 Gbps, 8GB GDDR6X, RGB, Ray Tracing, DLSS - 37ISM6MD4BSG;['---']
Placa de Vídeo EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING, 12GB GDDR6X, ARGB LED, Metal Backplate, DLSS, Ray Tracing - 12G-P5-3955-KR;['---']
Placa de Vídeo EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING LHR, 12GB GDDR6X, ARGB LED, Metal Backplate, DLSS, Ray Tracing - 12G-P5-3967-KR;['---']
Placa de Vídeo Asus TUF RTX 3070 Ti O8G Gaming LHR, 19 Gbps, 8GB GDDR6X, Ray Tracing, DLSS - 90YV0GY0-M0NA00;['---']
Placa de Vídeo Zotac GEFORCE RTX 3080 Ti TRINITY LHR, 19Gbps, 12GB GDDR6X, com RGB, Ray Tracing, DLSS e IceStorm 2.0 - ZT-A30810D-10P;['---']
Placa de Vídeo EVGA GeForce RTX 3070 Ti  FTW3 Ultra Gaming LHR, 8GB GDDR6X, Ray Tracing, DLSS, ARGB - 08G-P5-3797-KL;['---']
Placa de Vídeo Asus ROG STRIX NVIDIA RTX 3070 Ti 8G Gaming, 19 Gbps, 8GB GDDR6X, RGB, Ray Tracing, DLSS - 90YV0GW1-M0NA00;['---']
Placa de Vídeo Asus TUF NVIDIA RTX 3070 TI 8G Gaming, 19 Gbps, 8GB GDDR6X, Ray Tracing, DLSS - 90YV0GY1-M0NA00;['---']
Placa de Vídeo NVIDIA GeForce RTX 3080 Ti GAMING X TRIO 12G, 19 Gbps, 12GB GDDR6X, RGB, Ray Tracing, DLSS;['---']
Placa de Vídeo Nvidia GeForce RTX 3080 Ti VENTUS 3X 12G OC, 19 Gbps, 12GB GDDR6X, Ray Tracing, DLSS;['---']
Placa de Vídeo MSI NVIDIA GeForce RTX 3070 Ti VENTUS 3X 8G OC LHR, 19 Gbps, 8GB GDDR6X, Ray Tracing, DLSS;['---']
Placa de Vídeo Zotac NVIDIA GeForce RTX 3070 Ti TRINITY LHR, 19 Gbps, 8GB GDDR6X, Ray Tracing, DLSS, RGB - ZT-A30710D-10P;['---']
Placa de Vídeo Zotac NVIDIA GeForce RTX 3080 TRINITY LHR, 10GB, 19 Gbps, GDDR6X, Ray Tracing, DLSS, RGB - ZT-A30800D-10PLHR;['---']
Computador Gamer HookPCs, Ryzen 9 3900x, 16GB, SSD24,0 Rtx 2060, 600w;['---']
Computador Hook Gamer, I9 9900k, 16gb, Ssd240, Hdd 1tb, Rtx 2060, 750w;['---']
Placa de Vídeo Gigabyte Aorus NVIDIA GeForce RTX 3090 Xtreme Waterforce, RGB, 24G, GDDR6X, DLSS, Ray Tracing - GV-N3090AORUSX W-24GD;['---']
Placa de Vídeo Gigabyte Aorus NVIDIA GeForce RTX 3090 Xtreme Waterforce WB, RGB, 24G, DLSS, Ray Tracing - GV-N3090AORUSX WB-24GD;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3070 Ti Gaming OC LHR, RGB, 8G, GDDR6X, DLSS, Ray Tracing - GV-N307TGAMING OC-8GD;['---']
Placa de Vídeo Gigabyte Aorus NVIDIA GeForce RTX 3060 Elite, RGB, 12G, GDDR6, DLSS, Ray Tracing - GV-N3060AORUS E-12GD (rev 2.0);['---']
Placa de Víeo EVGA NVIDIA GeForce RTX 3080 FTW3 Ultra Hybrid Gaming, ARGB LED, 10GB, GDDR6X, Metal Backplate - 10G-P5-3898-KR;['---']
Placa de Vídeo Gigabyte AORUS NVIDIA GeForce RTX 3070 Ti MASTER 8G LHR,  8GB GDDR6X, RGB Fusion 2.0, Ray Tracing, DLSS - GV-N307TAORUS M-8GD;['---']
Pc Gamer Hook, I9 9900k, 16gb, Ssd240, Hdd 1tb, Rtx 2060, 750w;['---']
Computador Gamer, Hook, Ryzen 9, 3900x, 16gb, Ssd240, Rtx ,2060, 600w;['---']
Computador Gamer, Hook, Ryzen 5, 3600, 8gb, Ssd240, Gtx 1660, 6gb, 500w;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3070 Gaming OC 8G 8gb GDDR6 GV-N3070GAMING OC-8GD;['---']
Placa de Video Gigabyte GeForce RTX 3060 Gaming OC 12G LHR, 12 GB GDDR6, REV 2.0, Ray Tracing - GV-N3060GAMING;['---']
Placa de Vídeo Asus NVIDIA GeForce TUF RTX 3080 0O10G V2 Gaming, RGB, 19 Gbps, 10GB GDDR6X, DLSS, LHR, Ray Tracing, LED;['---']
Kit Notebook Gamer Lenovo Intel Core i7,GTX 1650 4GB, 8GB, 512GB SSD, 15.6´, Win10H + Norton Antivírus 360 Gamer- 3 PCs - Digital para download;['---']
Kit Placa de Vídeo Gigabyte Aorus NVIDIA GeForce RTX 3060 Elite + Placa de Som Asus Xonar SE + Drive ASUS Gravador Externo CD, DVD, ZenDrive U9;['---']
Kit Placa de Vídeo Gigabyte Aorus NVIDIA GeForce RTX 3060 Elite + Placa de Som Asus Xonar U7 MKII + Drive ASUS Gravador Externo Stylish Diamond;['---']
Kit Notebook Gamer Lenovo Core i7-10750H, NVIDIA GTX 1650 4GB, 8GB, 512GB SSD, 15.6´, Win10 H + Norton Antivírus 360 for Gamers 3 PCs, Digital;['---']
Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ti Gaming X, 8G, 14Gbps, GDDR6, RGB, LHR, DLSS, Ray Tracing - 912-V397-234;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3080 FTW3 Ultra Gaming, 10GB GDDR6X, iCX3 Technology, ARGB, DLSS, Ray Tracing, LHR - 10G-P5-3897-KL;['---']
Placa De Video Afox Nvidia Geforce Gtx 1060 3gb Gddr5 Dp Dvi Hdmi Af1060-3072d5h7;['---']
PC Gamer NTC Vulcano X Powered By Asus AMD Ryzen 7 5800X, NVIDIA Geforce RTX 2060, 16GB RAM, SSD 480GB, RGB, Linux, Preto 7304;['---']
Kit Placa de Vídeo NVIDIA RTX 3070 Ti TRINITY LHR, 8GB GDDR6X + Fonte Asus ROG-STRIX-750G, 750W, 80 Plus Gold + Drive Gravador CD/DVD/Blu-Ray;['---']
Kit Placa de Vídeo Zotac NVIDIA RTX 3070 Ti, 19 Gbps, 8GB GDDR6X + Fonte EVGA 750 GA, 750W, 80 Plus Gold + Drive ASUS Gravador CD/DVD ZenDrive;['---']
Kit Placa de Vídeo NVIDIA RTX 3070 Ti,19 Gbps, 8GB GDDR6X, Ray Tracing + Fonte Corsair RM750, 750W + Drive Gravador CD/DVD ZenDrive Ultra-Slim;['---']
Placa de Vídeo Galax NVIDIA GeForce RTX 3080 Ti HOF, 19Gbps, 12GB, GDDR6X, RGB, DLSS, Ray Tracing, Branco - 38IOM5MD3BHX;['---']
Placa de Vídeo Galax NVIDIA GeForce RTX 3060 Ti 1-Click OC, 8GB, GDDR6, LHR, DLSS, Ray Tracing, Preto - 36ISL6MD1VQW;['---']
Placa de Vídeo Asus NVIDIA ROG Strix RTX 3060 Ti 8G V2 Gaming, RGB, 8GB GDDR6, DLSS, LHR, Ray Tracing;['---']
Placa de Vídeo Asus KO NVIDIA GeForce RTX 3060 Ti V2, ARGB, 8GB GDDR6, DLSS, LHR, Ray Tracing - 90YV0G1H-M0NA00;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3080 Ti FTW3 Ultra Hydro Copper Gaming, 12GB GDDR6X, ARGB LED, LHR, DLSS, Ray Tracing - 12G-P5-3969-KR;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3080 Ti FTW3 Ultra Hybrid Gaming, 12GB GDDR6X, iCX3, ARGB LED, LHR, DLSS, Ray Tracing - 12G-P5-3968-KR;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3080 Ti XC3 Ultra Hydro Cooper Gaming, 12GB GDDR6X, ARGB LED, LHR, DLSS, Ray Tracing - 12G-P5-3959-KR;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3080 Ti XC3 Gaming, 12GB GDDR6X, iCX3 Cooling, ARGB LED, LHR, DLSS, Ray Tracing - 12G-P5-3953-KR;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3080 XC3 Ultra Gaming, 10GB GDDR6X, iCX3 Cooling, ARGB LED, LHR, DLSS, Ray Tracing - 10G-P5-3885-KL;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3070 FTW3 Ultra Gaming, 8GB GDDR6, iCX3 Technology, ARGB LED, LHR, DLSS, Ray Tracing - 08G-P5-3767-KL;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3070 XC3 Ultra Gaming, 8GB GDDR6, iCX3 Cooling, ARGB LED, LHR, DLSS, Ray Tracing - 08G-P5-3755-KL;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3060 Ti XC BLACK Gaming, 8GB GDDR6, LHR, DLSS, Ray Tracing - 08G-P5-3661-KR;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Ti Gaming (rev. 2.0), RGB, 8G GDDR6, DLSS, Ray Tracing - GV-N306TGAMING OC-8GD;['---']
Kit Placa de Vídeo NVIDIA RTX 2060 SC Gaming, 6GB, GDDR6 + Fonte EVGA 600W, 80 Plus Bronze + Cooler FAN Corsair ML140 Premium, 140mm;['---']
Kit Placa de vídeo NVIDIA RTX 2060 XC 6GB, GDDR6 + Fonte EVGA 600W, 80 Plus Bronze + Drive ASUS Gravador Externo CD/DVDZenDrive U7M, Ultra-Slim;['---']
Placa De Vídeo, Palit, Geforce, Rtx 3060 Ti Dual, 8gb, Gddr6, Ne6306t019p2-190ad;['---']
Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ti Ventus 3X OC, 8GB, LHR, DLSS, Ray Tracing - GeForce RTX 3060 Ti VENTUS 3X 8G OC LHR;['---']
Kit Placa de Vídeo Galax NVIDIA GeForce RTX 2060 6GB, GDDR6 + Placa de Som Asus Strix Raid Pro, PCIe, Canal 7.1;['---']
Placa de Vídeo EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming, ARGB LED, 8GB GDDR6X, iCX3 Cooling, DLSS, Ray Tracing - 08G-P5-3785-KL;['---']
PC Gamer Concórdia i7-10700F, RTX 2060, 16GB DDR4, HD 1TB, SSD 480GB + Cadeira Gamer Husky + Monitor Gamer UltraGear + Kit Periféricos Sem Fio;['---']
Placa de Vídeo Asus DUAL NVIDIA Geforce RTX 3060 TI 8G Mini V2, RGB, 8GB GDDR6, LHR, DLSS, Ray Tracing - 90YV0FT3-M0NA00;['---']
Placa De Vídeo Geforce RTX 3060 OC, 12GB, Twin Edge, GDDR6, Zotac - ZT-A30600E-10M;['---']
Kit Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Ti Gaming (rev. 2.0) + Fonte Gigabyte 550W + Placa-Mãe Gigabyte Z490M Gaming X;['---']
Kit Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Eeagle (rev. 2.0) + Fonte Gigabyte GP-P550B 550W + Placa-Mãe Gigabyte B450M DS3H, AMD, DRR4;['---']
Kit Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080 Ti VISION OC 12G LHR + Fonte XPG Core Reactor, 750W + COOLER FAN RISE MODE AQUA MOTHERBOARD;['---']
Pc Gamer Neologic,Ryzen 5 3600 8gb, gtx 1050ti 4gb, SSD 240gb, 400w 80 Plus;['---']
Computador Gamer Neologic, Ryzen 5 3600 8gb, gtx 1050ti 4gb, SSD 480gb, 400w 80 Plus.;['---']
Pc Gamer Neologic Gta Rp Nli83115 Amd Ryzen 5 3600 16gb (rx 560 4gb) 1tb 500w 80 Plus;['---']
Pc Gamer Neologic Nli82488 Ryzen 5 3600 8gb (gtx 1650 4gb) Ssd 240gb 400w 80 Plus;['---']
Pc Gamer Neologic, Ryzen 5 3600 16gb, gtx 1650 4gb, SSD 480gb, 400w 80 Plus;['---']
Pc Gamer Neologic, Ryzen 5 3600 8gb, gtx 1650 4gb, SSD 480gb, 400w 80 Plus;['---']
Pc Gamer Neologic Gta Rp Nli83112 Amd Ryzen 5 3600 8gb (rx 560 4gb) 1tb 500w 80 Plus;['---']
Pc Gamer Neologic Gta Rp Nli83112 Amd Ryzen 5 3600 8gb (rx 560 4gb) 1tb 500w 80 Plus;['---']
Pc Gamer Neologic,  Ryzen 5 3600 16gb, gtx 1650 4gb, Hd 1tb, 400w 80 Plus;['---']
PC Gamer Neologic, AMD Ryzen 5 3600, 16GB, GTX 1050TI 4GB, SSD 480GB, 400W 80 Plus - NLI82497;['---']
Pc Gamer Neologic, Ryzen 5 3600 16gb, gtx 1650 4gb, SSD 240gb, 400w 80 Plus;['---']
Pc Gamer Neologic, Ryzen, 5 3600 16GB (gtx 1060 3gb) Ssd 240GB, 400w 80 Plus;['---']
Pc Gamer Neologic, Ryzen 5 3600 8gb, gtx 1060 3gb, SSD 480gb, 400w 80 Plus;['---']
Pc Gamer Neologic, Amd Ryzen 5 3600, 8gb, Ddr4 (gtx 1060 3gb), Hd 1tb, 400w 80 Plus - Nli82414;['---']
Pc Gamer Neologic, Amd Ryzen 5 3600, 16gb Ddr4, (gtx 1060 3gb), Hd 1tb, 400w 80 Plus - Nli82415;['---']
Pc Gamer Neologic, Ryzen 5 3600, 8GB, gtx 1060 3GB, SSD 240GB, 400w 80 Plus;['---']
Notebook Gamer Acer Predator Helios 300,  GTX 1660TI, Core i7, 16GB, SSD 128GB, HD 1TB, Win10 - PH315-52-748u;['---']
Computador Gamer 5000 - Ryzen 5 3600 3.6Ghz Mem. 8Gb Ddr4 Hd 1Tb Rx 570 4Gb Fonte 600W;['---']
Computador Gamer 3000 - Ryzen 3 3200G 3.6Ghz Mem. 8Gb Ddr4 Ssd 240Gb Rx 570 4Gb Fonte 400W;['---']
Computador Gamer 3000 - I3 9100F 3.6Ghz 9ª Ger. Mem. 8Gb Ddr4 Hd 1Tb Gtx 1650 4Gb Fonte 400W;['---']
Computador Gamer 3000 - I3 9100F 3.6Ghz 9ª Ger. Mem. 8Gb Ddr4 Hd 1Tb Rx 570 4Gb Fonte 400W;['---']
Computador Gamer Skul 3000 Intel Core i3-9100F, 8GB, HD 1TB, GTX 1050TI 4GB, Linux - 33290;['---']
Computador Skill Gamer com Processador AMD Ryzen 5 3600, 8GB DDR4, Radeon RX 580 8GB, SSD 480GB, Fonte Gamer 500W;['---']
Computador Skill Gamer com Processador AMD Ryzen 5 3600, 8GB DDR4, Geforce GTX 1660 Super 6GB, HD 1TB, Fonte Gamer de 500W;['---']
Computador Skill Gamer com Processador AMD Ryzen 5 3600, 8GB DDR4, Geforce GTX 1660 Super 6GB, SSD 480GB, Fonte Gamer 500W;['---']
PC Gamer Completo XP Intel Core i7 8GB (Placa de vídeo Geforce RTX 2060 6GB) HD 2TB 500W 3green Monitor 21,5 Prata 75Hz;['---']
PC Gamer Completo XP Intel Core i5 8GB (Placa de vídeo Geforce RTX 2060 6GB) SSD 240GB 500W 3green Monitor 21,5 Prata 75Hz;['---']
"PC Gamer Completo XP 3Green, Intel Core i5, 8Gb,SSD 240Gb, Geforce RTX 2060 6Gb, Fonte 500W com Monitor 21.5"" Prata - Linux";['---']
"PC Gamer Completo XP 3Green, Intel Core i7, 8Gb, SSD 240Gb, Geforce RTX 2060 6Gb, Fonte 500W com Monitor 21.5"" Prata - Linux";['---']
"PC Gamer Completo XP 3Green, Intel Core i5, 8Gb, HD 2Tb, Geforce RTX 2060 6Gb, Fonte 500W com Monitor 21.5"" Prata - Linux";['---']
Computador PC Gamer Completo 3green XP Intel Core i7, 8GB, Placa de vídeo Geforce RTX 2060 6GB, HD 2TB, 500W, Monitor 21.5, 75Hz, Prata;['---']
"Computador PC Gamer 3green Completo XP Intel Core i7 8GB, RTX 2060 6GB, SSD 120GB, HD 2TB, 500W, Monitor 21,5"", Prata 75Hz";['---']
"PC Gamer Completo XP 3Green, Intel Core i7, 8Gb, SSD 240Gb, Geforce RTX 2060 6Gb, Fonte 500W com Monitor 21.5"" Prata - Linux";['---']
PC Gamer Completo XP, Intel Core i5, 8GB, (Placa de vídeo Geforce RTX 2060 6GB), SSD 120GB, HD 2TB, 500W, 3green Monitor 21.5'' Prata, 75Hz - Linux;['---']
Computador PC Gamer Completo 3green XP Intel Core i7, 8GB, Placa de vídeo Geforce RTX 2060 6GB, SSD 120GB, HD 2TB, 500W, Monitor 21.5, 75Hz, Prata;['---']
Computador PC Gamer Completo 3green XP Intel Core i5, 8GB, Placa de vídeo Geforce RTX 2060 6GB, SSD 120GB, HD 2TB, 500W, Monitor 21.5, 75Hz, Prata;['---']
Computador PC Gamer Completo 3green XP Intel Core i5, 8GB, Placa de vídeo Geforce RTX 2060 6GB, HD 2TB, 500W, Monitor 21.5, 75Hz, Prata;['---']
Notebook Gamer Predator Helios 300, Intel Core i5-10300H, 8GB, 256GB SSD, GTX 1660, 1TB HD, Tela 15.6'', Windows 10 - PH315-53-52J6;['---']
Computador 3Green PC Gamer XP Intel Core i7, RAM 8GB, Geforce RTX 2060 6GB, SSD 240GB, 500W;['---']
Computador 3Green PC Gamer XP Intel Core i7, RAM 8GB, Geforce RTX 2060 6GB, SSD 240GB, 500W;['---']
Computador 3Green PC Gamer XP Intel Core i7, RAM 8GB, Geforce RTX 2060 6GB, SSD 120GB, HD 2TB, 500W;['---']
Computador 3Green PC Gamer XP Intel Core i7, RAM 8GB, Geforce RTX 2060 6GB, SSD 120GB, HD 2TB, 500W;['---']
Computador 3Green PC Gamer XP Intel Core i7, RAM 8GB, Geforce RTX 2060 6GB, HD 2TB, 500W;['---']
Computador 3Green PC Gamer XP Intel Core i7, RAM 8GB, Geforce RTX 2060 6GB, HD 2TB, 500W;['---']
Computador Gamer XP 3Green, Intel Core i5, 8GB RAM, RTX 2060 6G, HD 2TB, 500W;['---']
Computador Gamer XP 3Green, Intel Core i5, 8GB RAM, RTX 2060 6GB, SSD 120GB, HD 2TB, 500W;['---']
Computador Gamer XP 3Green, Intel Core i5, 8GB RAM, RTX 2060 6GB, SSD 120GB, HD 2TB, 500W;['---']
Computador Gamer XP 3Green, Intel Core i5, 8GB RAM, RTX 2060 6GB, SSD 240GB, 500W;['---']
Computador Gamer XP 3Green, Intel Core i5, 8GB RAM, RTX 2060 6GB, SSD 240GB, 500W;['---']
Notebook Predator Helios 300, Intel Core i7, 16GB, 256GB SSD, 1TB HD, RTX 2070, 15.6', Endless OS - PH315-53-735Y;['---']
Pc Gamer Neologic Nli81726 Ryzen 5 3600 8gb (gtx 1050ti 4gb) 1tb;['---']
Computador Gamer Neologic Dragon Diamond NLI82209, Ryzen 5 3600, 16GB, RTX 3060 12GB, SSD 240GB, 600w;['---']
Pc Gamer Neologic Dragon Diamond Nli82208 Ryzen 5 3600 8gb (rtx 3060 12gb) Ssd 240gb 600w 80 Plus;['---']
Pc Gamer Neologic Nli81728 Ryzen 5 3600 8gb (gtx 1650 4gb) 1tb;['---']
"Notebook Acer Predator Triton 300, Intel Core I7-11370H 11 Geracao, Geforce Rtx 3060, 24GB, 1TB SSD, Windows 10, Tela 14""";['---']
Placa De Vídeo Asus Geforce Rtx 3060 Oc Edition, 12GB, Gddr6, 192 Bits - Dual-rtx3060-o12g;['---']
Computador Gamer 3000 - I3 9100F 3.6GHZ 9A GER. MEM. 8GB DDR4 SSD 120GB HD 1TB GTX 1050TI 4GB Fonte 500W;['---']
Placa De Vídeo Asus Geforce RTX 2060, 6GB, GDDR6, 192 Bits - Dual-rtx2060-o6g-evo;['---']
Placa de Vídeo Galax NVIDIA Geforce RTX 3070, Sem LHR, 14 Gbps, 8GB, GDDR6, DLSS, Ray Tracing - 37NSL6MD2KOC;['---']
Pc Gamer E-sports Box Neologic Nli81754 Ryzen 5 3600 8gb (gtx 1660 Super 6gb) 1tb;['---']
"Notebook Gamer Acer Predator Helios 300 Intel Core i7-10750H, 16GB, 256GB SSD, Hd 1tb, Rtx 2060, Tela 15,6"", Windows 10 - Ph315-53-74bc";['---']
Placa de Vídeo Gainward GeForce RTX 3060 Ti Ghost 8GB GDDR6 - NE6306T019P2-190AB;['---']
Placa De Vídeo Gainward Geforce RTX 3080 Phoenix 10GB GDDR6X 320 Bit - NED3080019IA-132AX;['---']
Placa de Vídeo Gainward GeForce RTX 3080 Phoenix GS 10GB GDDR6 - NED3080S19IA-132AX;['---']
Placa De Vídeo Zotac Geforce Rtx 3070 Twin Edge Oc 8gb Gddr6 - Zt-a30700h-10p;['---']
Placa De Video Evga Geforce Rtx 3070 Xc3 Ultra Gaming 8gb Gddr6 - 08g-p5-3755-kr;['---']
Pc Gamer Neologic Powered By Asus Nli82376 Ryzen 5 3600, 8GB Ddr4 (gtx 1050ti 4gb) HD 1TB 400w 80 Plus;['---']
Placa De Vídeo Galax Nvidia Geforce Rtx 3080 Ti Sg 1 Click Oc 12gb Gddr6x - 38iom5md99dd;['---']
Pc Gamer E-sports Box Neologic Nli82446 Ryzen 7 3700x 16gb (gtx 1060 3gb) Ssd 240gb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic Nli82451 Ryzen 7 3700x 16gb (rtx 2060 6gb) Hd 1tb 400w 80 Plus;['---']
Pc Gamer Neologic Nli82412 Amd Ryzen 5 3500 8gb Ddr4 (gtx 1060 3gb) Hd 1tb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic Nli82468 Ryzen 5 3600 8gb (gtx 1660 Super 6gb) Ssd 480gb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic Nli82469 Ryzen 5 3600 16gb (gtx 1660 Super 6gb) Hd 1tb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic, Ryzen 7 3700x, 16gb (gtx 1060 3gb), Ssd 480gb, 400w 80 Plus - Nli82447;['---']
Pc Gamer E-sports Box Neologic Nli82443 Ryzen 7 3700x 8gb (rtx 2060 6gb) Ssd 240gb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic Nli82466 Ryzen 5 3600 8gb (gtx 1660 Super 6gb) Hd 1tb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic Nli82471 Ryzen 5 3600 16gb (gtx 1660 Super 6gb) Ssd 480gb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic, Ryzen 7 3700x, 16gb, (rtx 2060 6gb) Ssd 480gb, 400w 80 Plus -  Nli82453;['---']
Pc Gamer E-sports Box Neologic Nli82470 Ryzen 5 3600 16gb (gtx 1660 Super 6gb) Ssd 240gb 400w 80 Plus;['---']
Pc Gamer Neologic Nli82413 Amd Ryzen 5 3500 16gb Ddr4 (gtx 1060 3gb) Hd 1tb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic - Nli82445 Ryzen 7 3700x 16GB (gtx 1060 3gb) HD, 1TB, 400W, 80 Plus;['---']
PC Gamer E-Sports Box Neologic, Ryzen 7 3700X, 16GB, RTX 2060 6GB, SSD 240GB, 400W 80 Plus - Nli82452;['---']
Pc Gamer E-sports Box Neologic - Nli82436 Ryzen 7 3700x 8GB (gtx 1060 3gb) HD 1TB 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic - Nli82437 Ryzen 7 3700x 8GB (gtx 1060 3gb) SSD 240GB, 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic Nli82467 Ryzen 5 3600 8gb (gtx 1660 Super 6gb) Ssd 240gb 400w 80 Plus;['---']
Pc Gamer E-sports Box Neologic, Ryzen 7 3700x, 8gb (rtx 2060 6gb), Ssd 480gb, 400w 80 Plus - Nli82444;['---']
Pc Gamer Neologic Powered By Asus Nli82392 Ryzen 5 3600 8gb Ddr4 (gtx 1660 Super 6gb) Hd 1tb 400w 80 Plus;['---']
Computador Gamer Neologic, Ryzen 7 3700x 8gb, rtx 2060 6gb, Hd 1tb, 400w, 80 Plus - NLI82442;['---']
Pc Gamer Neologic Streamer Nli82426 Intel I5-9400f 16gb (gtx 1060 3gb) Ssd 240gb + Hd 1tb 400w 80 Plus + 2 Monitores 21,5;['---']
Placa De Vídeo, Evga, Geforce Rtx 2060 Xc, 6gb, Gddr6, 192bit;['---']
Pc Gamer Neologic, Ryzen 5 3600 16GB, GTX 1050ti 4GB, SSD 240GB, 400w 80 Plus;['---']
PC Gamer Neologic Dragon Gold AMD Ryzen 5 3600, 16GB, GTX 1660 6GB, HD 1TB, SSD 240GB, NLI82596;['---']
Pc Gamer Neologic Nli82486 Ryzen 5 3500 16gb (gtx 1060 3gb) Ssd 240gb 400w 80 Plus;['---']
Pc Gamer Neologic Nli82485 Ryzen 5 3500 8gb (gtx 1060 3gb) Ssd 480gb 400w 80 Plus;['---']
Pc Gamer Neologic Nli82484 Ryzen 5 3500 8gb (gtx 1060 3gb) Ssd 240gb 400w 80 Plus;['---']
Pc Gamer Neologic Nli82487 Ryzen 5 3500 16gb (gtx 1060 3gb) Ssd 480gb 400w 80 Plus;['---']
Computador Gamer Alfatec Infinity Intel Core I7-6800k, Ram 32gb, Ssd 1tb, Rtx 3060, Windows 10;['---']
Placa De Vídeo Palit Nvidia Geforce Rtx 3070 Ti Gamingpro 8gb Gddr6x - Ned307t019p2-1046a;['---']
Placa De Video Galax, Geforce Rtx, 3090 Gf (1-click Oc) 24gb, Gddr 6x 384, Bits Dp 3 Hdmi - 39nsm5md1gna;['---']
Computador Gamer 3000 - I3 10105f 3.7ghz 10ª Ger. Water Cooler 120mm Mem. 8gb Ddr4 Hd 1tb Gtx 1650 4gb Fonte 550w;['---']
Placa De Vídeo Galax GeForce RTX 3070 Ti SG 1-Click 8gb GDRR6X 256bits 37ISM6MD4BSG;['---']
Placa De Vídeo Gainward Geforce Rtx 3060 Oc Pegasus 12gb - Ne63060s19k9-190a;['---']
Placa De Vídeo Asus Tuf Rtx 3060 Oc V2 12gb Gaming Lhr Gddr6 Rgb -  90yv0gc0-m0na10;['---']
Kit Upgrade Gamer Xtreme, Gigabyte B360m Aorus Gaming 3, I7-9700kf, Rtx 2060, 16gb Ddr4 2666mhz;['---']
Kit Upgrade Gamer Xtreme, Gigabyte B360m Aorus Gaming 3, I7-9700f, Rtx 2060, 16gb Ddr4 2666mhz;['---']
