Descricao;Valor
PC Gamer Concórdia Intel Core i7-10700F, RTX 2060, 16GB DDR4, HD 1TB, SSD 480GB, Fonte 650W, Windows 10 Pro - 30224;['10.999,90']
PC Gamer NTC Vulcano X Powered By Asus AMD Ryzen 5 3600, NVIDIA Geforce GTX 1650, 16GB RAM, SSD 480GB, RGB, Linux, Preto - 7301;['6.199,90']
Placa de Vídeo Gigabyte Aorus NVIDIA GeForce RTX 3090 Master 24G (rev. 1.0), RGB, 24GB, DLSS, Ray Tracing - GV-N3090AORUS M-24GD REV 1.0;['21.499,90']
Pc Gamer, Completo, Neologic Streamer, Nli82424, Intel I5-9400f, 16gb, gtx 1060 3gb, Ssd 240gb + Hd 1tb, 400w 80 Plus, 2 Monitores 21, Cadeira.;['8.970,00']
Pc Gamer Moba Box, Amd 3000g 16gb, (gtx 1060 3gb) Ssd 120gb, 400w 80 Plus - Nli82530;['5.309,55']
Pc Gamer, Completo, Neologic Streamer, Nli82432, Intel I5-9400f, 16gb, rtx 2060 6gb, Ssd 240gb + Hd 1tb, 600w 80 Plus, 2 Monitores 21, Cadeira;['10.721,00']
Pc Gamer, Completo, Neologic Streamer, Nli82432, Intel I5-9400f, 16gb, rtx 2060 6gb, Ssd 240gb + Hd 1tb, 600w 80 Plus, 2 Monitores 21, Cadeira;['10.721,00']
Par De Helice Drone Dji Matrice 300 Rtk 2110 (cw + Ccw);['2.299,00']
Pc Gamer Neologic, Ryzen 5 3600 16gb, gtx 1060 3gb, Ssd 480gb, 400w 80 Plus;['6.924,55']
"Kit - Pc Gamer Neologic Streamer Nli82422 Intel I5-9400f 16gb (gtx 1060 3gb) Ssd 240gb + Hd 1tb 400w 80 Plus + 2 Monitores 21,5""";['9.043,05']
Kit - Pc Gamer Neologic Streamer Nli82429 Intel I5-9400f 16gb (rtx 2060 6gb) Ssd 240gb + Hd 1tb 600w 80 Plus;['8.872,05']
Pc Gamer Smart Pc Smt81117 Intel I5 8gb (geforce Gtx 1060 3gb) 1tb;['4.625,55']
Pc Gamer Smart Pc, Intel I5, 8gb, (geforce Gtx 1060 3gb), 1tb + Ssd 120gb - Smt81121;['4.844,05']
PC Gamer Moba Box AMD 3000G, 8GB, GTX 1060 3GB, SSD 120GB, 400W 80 Plus - NLI82527;['4.901,05']
